epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5925548076629639,1.2084801197052002,0.3502252399921417,5.849588871002197
1,0.76402348279953,0.7105839252471924,0.5270270109176636,2.4741342067718506
2,0.8333758115768433,0.49070116877555847,0.582207202911377,1.4436806440353394
3,0.8765935897827148,0.38180071115493774,0.42905405163764954,3.281498432159424
4,0.8983936905860901,0.3082469403743744,0.5439189076423645,1.689766764640808
5,0.9210861921310425,0.239092618227005,0.5777027010917664,2.4622204303741455
6,0.9345996975898743,0.19723720848560333,0.6058558821678162,2.006373882293701
7,0.9431412816047668,0.17530067265033722,0.3445945978164673,5.589585781097412
8,0.9445436000823975,0.16673864424228668,0.537162184715271,3.2115414142608643
9,0.9548699855804443,0.1363082081079483,0.5518018007278442,3.051853656768799
10,0.947475790977478,0.16403895616531372,0.4909909963607788,2.931973934173584
11,0.9677460193634033,0.09338191896677017,0.5867117047309875,2.6514225006103516
12,0.974375307559967,0.08155538886785507,0.625,2.2523436546325684
13,0.9629015922546387,0.1137840524315834,0.5168918967247009,3.2608981132507324
14,0.9728454947471619,0.08341775834560394,0.5889639854431152,2.726605176925659
15,0.9761601090431213,0.07359897345304489,0.5777027010917664,2.7489070892333984
16,0.9761601090431213,0.07046695798635483,0.5934684872627258,2.440441131591797
17,0.9838092923164368,0.04813928157091141,0.6407657861709595,2.883434295654297
18,0.9780724048614502,0.07006095349788666,0.44369369745254517,4.177674770355225
19,0.9600968956947327,0.12193301320075989,0.5934684872627258,2.8996191024780273
20,0.9875063896179199,0.04312625899910927,0.7027027010917664,1.8333641290664673
21,0.9942631125450134,0.01924346573650837,0.6340090036392212,2.2341065406799316
22,0.9857215881347656,0.042869120836257935,0.5765765905380249,2.593376398086548
23,0.9719530940055847,0.08352193236351013,0.6858108043670654,1.9059065580368042
24,0.9872514009475708,0.0400271974503994,0.6632882952690125,2.6149191856384277
25,0.9864864945411682,0.04336217790842056,0.6576576828956604,3.512727737426758
26,0.9840642809867859,0.05636710673570633,0.4628378450870514,6.509812831878662
27,0.9927332997322083,0.02355743758380413,0.6666666865348816,2.560326099395752
28,0.9928607940673828,0.024045748636126518,0.5349099040031433,3.508007764816284
29,0.9957929849624634,0.010950380004942417,0.6813063025474548,2.740492820739746
30,0.9989801049232483,0.004841775167733431,0.6745495200157166,2.7751736640930176
31,0.9991075992584229,0.003935527056455612,0.670045018196106,2.7750959396362305
32,0.9992350935935974,0.003626317484304309,0.684684693813324,2.807387351989746
33,0.999362587928772,0.0031322406139224768,0.6813063025474548,2.7612597942352295
34,0.9992350935935974,0.002948607550933957,0.6632882952690125,2.863983154296875
35,0.9985976815223694,0.0032159986440092325,0.6430180072784424,2.8509604930877686
